Column_1,ETid,Country,Column_4,Date of Decision,Fine [€],Controller/Processor,Column_8,Quoted Art.,Type,Column_11,Source,Column_13
,ETid-2629 | https://www.enforcementtracker.com/ETid-2629,GERMANY GERMANY,Data Protection Authority of Berlin,2024,"60,000",Company,Health Care,Unknown,Insufficient technical and organisational measures to ensure information security,"The DPA of Berlin imposed a fine of EUR 60,000 on a healthcare company. The company offers practice management software that includes a patient communication portal with insufficient technical and organizational measures to ensure data protection. The total amount of the fine was reduced because no data breach was found and the company cooperated with the DPA.",link | https://www.datenschutz-berlin.de/jahresbericht-2024/#_idTextAnchor008,https://www.enforcementtracker.com/ETid-2629 (Copy: ) | Short URL: https://etid.link/ETid-2629 ETid 2629 | https://www.enforcementtracker.com/ETid-2629
,ETid-2628 | https://www.enforcementtracker.com/ETid-2628,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-03,600,Owner of a Law Firm,"Finance, Insurance and Consulting",Art. 5 (1) f) GDPR,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA imposed a fine on the owner of a law firm. The controller disclosed personal information in an external email because they did not implement sufficient technical and organizational measures. The original fine of EUR 1,000 was reduced to EUR 600 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00566-2024.pdf,https://www.enforcementtracker.com/ETid-2628 (Copy: ) | Short URL: https://etid.link/ETid-2628 ETid 2628 | https://www.enforcementtracker.com/ETid-2628
,ETid-2627 | https://www.enforcementtracker.com/ETid-2627,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-22,"1,200",FUNDACIÓ PRIVADA DE SERVEIS PER ALS USUARIS DEL HABITATGE SOCIAL DE CATALUNYA,Real Estate,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Spanish DPA imposed a fine on FUNDACIÓ PRIVADA DE SERVEIS PER ALS USUARIS DEL HABITATGE SOCIAL DE CATALUNYA. The controller processed personal data without a sufficient legal basis, resulting in an incorrect bank transaction at the expense of the data subject. The original fine of EUR 2,000 was reduced to EUR 1,200 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00382-2024.pdf,https://www.enforcementtracker.com/ETid-2627 (Copy: ) | Short URL: https://etid.link/ETid-2627 ETid 2627 | https://www.enforcementtracker.com/ETid-2627
,ETid-2626 | https://www.enforcementtracker.com/ETid-2626,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-22,"12,000","NOVATES ALIMENTACIÓN MADRID, S.L.",Industry and Commerce,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA imposed a fine on NOVATES ALIMENTACIÓN MADRID, S.L. The controller used surveillance cameras without implementing the necessary technical and organizational measures to ensure data security. The original fine of EUR 20,000 was reduced to EUR 12,000 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00345-2024.pdf,https://www.enforcementtracker.com/ETid-2626 (Copy: ) | Short URL: https://etid.link/ETid-2626 ETid 2626 | https://www.enforcementtracker.com/ETid-2626
,ETid-2625 | https://www.enforcementtracker.com/ETid-2625,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-22,"1,200",SERVICIOS DE INTEGRACIÓN DE ANDALUCÍA,Employment,Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Spanish DPA imposed a fine on SERVICIOS DE INTEGRACIÓN DE ANDALUCÍA. The controller hired an employee and processed the mobile phone number of the new employee without consent or other legal basis. The number was used to add the employee into a WhatsApp group for work purposes which resulted in the employee recivieng excessive numbers of notifications, causing the employee becoming ill. The original fine of EUR 2,000 was reduced to EUR 1,200 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00393-2024.pdf,https://www.enforcementtracker.com/ETid-2625 (Copy: ) | Short URL: https://etid.link/ETid-2625 ETid 2625 | https://www.enforcementtracker.com/ETid-2625
,ETid-2624 | https://www.enforcementtracker.com/ETid-2624,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-05-22,"1,200",Attorney,"Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Spanish DPA imposed a fine on an attorney. The controller processed data of a data subject without sufficient legal basis. The original fine of EUR 2,000 was reduced to EUR 1,200 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00032-2025.pdf,https://www.enforcementtracker.com/ETid-2624 (Copy: ) | Short URL: https://etid.link/ETid-2624 ETid 2624 | https://www.enforcementtracker.com/ETid-2624
,ETid-2623 | https://www.enforcementtracker.com/ETid-2623,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-15,600,Unknown,Not assigned,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Spanish DPA imposed a fine on an unknown data controller. The controller stored full copies of personal IDs for verification purposes. In this case, storing all the information found on an ID was unnecessary and infringed upon the principle of data minimization. The original fine of EUR 1,000 was reduced to EUR 600 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00535-2024.pdf,https://www.enforcementtracker.com/ETid-2623 (Copy: ) | Short URL: https://etid.link/ETid-2623 ETid 2623 | https://www.enforcementtracker.com/ETid-2623
,ETid-2622 | https://www.enforcementtracker.com/ETid-2622,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-14,"6,000","LÃSER METALPRINT 3D, S.L.",Industry and Commerce,Art. 28 GDPR,Insufficient data processing agreement,"The Spanish DPA imposed a fine on LÃSER METALPRINT 3D, S.L. The controller hired a third company to install and maintain a surveillance system. The controller and the hired company had a data processing agreement. However not the hired company but another company processed the data. The controller and the processing (third) company did not have a data processing agreement, even though one was needed. The original fine of EUR 6,000 was reduced to EUR 10,000 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00107-2025.pdf,https://www.enforcementtracker.com/ETid-2622 (Copy: ) | Short URL: https://etid.link/ETid-2622 ETid 2622 | https://www.enforcementtracker.com/ETid-2622
,ETid-2621 | https://www.enforcementtracker.com/ETid-2621,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-14,"3,000","EDA TV CONSULTING, S.L.","Media, Telecoms and Broadcasting",Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,"The Spanish DPA imposed a fine on EDA TV CONSULTING, S.L. The controller had stored copies of personal IDs to verify the identity of data subjects. According to the DPA, the controller infringed the principle of data minimization, because not all informations visibel on the ID were needed for the specific verification process. The original fine of EUR 5,000 was reduced to EUR 3,000 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00443-2024.pdf,https://www.enforcementtracker.com/ETid-2621 (Copy: ) | Short URL: https://etid.link/ETid-2621 ETid 2621 | https://www.enforcementtracker.com/ETid-2621
,ETid-2620 | https://www.enforcementtracker.com/ETid-2620,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-09,600,FEDERACION DE COLUMBICULTURA DE CASTILLA-LA MANCHA,Individuals and Private Associations,Art. 5 (1) f) GDPR,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA imposed a fine on FEDERACION DE COLUMBICULTURA DE CASTILLA-LA MANCHA. The controller was unable to ensure the confidentiality of personal data, which resulted in a leak. The original fine of EUR 1,000 was reduced to EUR 600 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00359-2024.pdf,https://www.enforcementtracker.com/ETid-2620 (Copy: ) | Short URL: https://etid.link/ETid-2620 ETid 2620 | https://www.enforcementtracker.com/ETid-2620
,ETid-2619 | https://www.enforcementtracker.com/ETid-2619,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-04-04,360,SINDICAT CATAC-CTSC,Not assigned,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,The Spanish DPA imposed a fine of on SINDICAT CATAC-CTSC. The controller failed to react to a communication attempt by the AEPD.  The original fine of EUR 600 was reduced to EUR 360 due to immediate payment and admission of responsibility by the controller.,link | https://www.aepd.es/documento/ps-00013-2025.pdf,https://www.enforcementtracker.com/ETid-2619 (Copy: ) | Short URL: https://etid.link/ETid-2619 ETid 2619 | https://www.enforcementtracker.com/ETid-2619
,ETid-2618 | https://www.enforcementtracker.com/ETid-2618,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-03-30,"3,500",MAD COOL FESTIVAL S.L.,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,500 on MAD COOL FESTIVAL S.L. The controller suffered a data breach due to insufficient technical and organizational measures. The total fine consists of a fine of EUR 2,000 for infringing on Art. 5(1)(f) GDPR, and EUR 1,500 for the violation of Art. 32 GDPR. The total sum can be reduced by 20% (resulting in a fine of EUR 2,800) with timely payment.",link | https://www.aepd.es/documento/ps-00456-2024.pdf,https://www.enforcementtracker.com/ETid-2618 (Copy: ) | Short URL: https://etid.link/ETid-2618 ETid 2618 | https://www.enforcementtracker.com/ETid-2618
,ETid-2617 | https://www.enforcementtracker.com/ETid-2617,FRANCE FRANCE,French Data Protection Authority (CNIL),2024-09-26,"150,000",TELEMAQUE,"Media, Telecoms and Broadcasting","Art. 5 (1) e) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,"The French DPA imposed a fine of EUR 150,000 on TELEMAQUE. The controller is a company that offers digital services in the field of divinatory arts, including fortune telling by SMS, VAS or online chat. As part of its services, the controller regularly processed multiple categories of sensitive data (Art. 9 GDPR) without obtaining prior consent. The controller also stored customer data for six years after the end of the business relationship for marketing purposes. According to the French DPA, three years would have been admissible. This resulted in a fine of EUR 100,000. The fine increased by EUR 50,000 because the processor also infringed the French Post and Electronic Communications Code.",link link | https://cnil.fr/fr/voyance-en-ligne-sanctions-de-250-000-et-150-000-euros-cosmospace-telemaque,https://www.enforcementtracker.com/ETid-2617 (Copy: ) | Short URL: https://etid.link/ETid-2617 ETid 2617 | https://www.enforcementtracker.com/ETid-2617
,ETid-2616 | https://www.enforcementtracker.com/ETid-2616,FRANCE FRANCE,French Data Protection Authority (CNIL),2024-09-26,"250,000",COSMOSPACE,"Media, Telecoms and Broadcasting","Art. 5 (1) c), e) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,"The French DPA imposed a fine of EUR 250,000 on COSMOSPACE. The controller is a company that offers personalized clairvoyance consultations by telephone. As part of its services, the controller regularly processed multiple categories of sensitive data (Art. 9 GDPR) without obtaining prior consent. The controller also stored customer data for six years after the end of the business relationship for marketing purposes. According to the French DPA, a maximum of three years would have been admissible. This resulted in a fine of EUR 200,000. The fine was increased by EUR 50,000 because the processor also infringed the French Post and Electronic Communications Code.",link link | https://cnil.fr/fr/voyance-en-ligne-sanctions-de-250-000-et-150-000-euros-cosmospace-telemaque,https://www.enforcementtracker.com/ETid-2616 (Copy: ) | Short URL: https://etid.link/ETid-2616 ETid 2616 | https://www.enforcementtracker.com/ETid-2616
,ETid-2615 | https://www.enforcementtracker.com/ETid-2615,LUXEMBOURG LUXEMBOURG,National Commission for Data Protection (CNPD),2025-01-06,"175,000",Credit Institution,"Finance, Insurance and Consulting","Art. 12 (3), (4) GDPR",Insufficient fulfilment of data subjects rights,"The DPA of Luxembourg has issued a fine of EUR 175,000 on a Credit Institution. The controller failed to respond to information requests within the timeframe specified in Art. 12 (3) of the GDPR.",link | https://cnpd.public.lu/content/dam/cnpd/fr/decisions-fr/2025/dlibration-n1fr-2025-anonymise.pdf,https://www.enforcementtracker.com/ETid-2615 (Copy: ) | Short URL: https://etid.link/ETid-2615 ETid 2615 | https://www.enforcementtracker.com/ETid-2615
,ETid-2614 | https://www.enforcementtracker.com/ETid-2614,BELGIUM BELGIUM,Belgian Data Protection Authority (APD),2025-04-24,"6,000",Real Estate Agency,Real Estate,"Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 17 (1) GDPR, Art. 21 (2) GDPR",Insufficient cooperation with supervisory authority,"The Belgian DPA imposed a fine of EUR 6,000 on a real estate agency. The Belgian DPA had previously issued a remedy to the controller in an earlier case due to the controller processing data without a sufficient legal basis and failing to comply with the data subject's right to erasure. The Belgian DPA determined that the controller had failed to comply with the issued remedy, resulting in the fine being issued.",link | https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-80-2025.pdf,https://www.enforcementtracker.com/ETid-2614 (Copy: ) | Short URL: https://etid.link/ETid-2614 ETid 2614 | https://www.enforcementtracker.com/ETid-2614
,ETid-2613 | https://www.enforcementtracker.com/ETid-2613,BELGIUM BELGIUM,Belgian Data Protection Authority (APD),2025-04-22,"20,000",Company,Industry and Commerce,"Art. 5 (1) a), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 14 (1), (2) GDPR, Art. 15 (1) c), d), g), Art. 24 (1) GDPR, Art. 25 (1) GDPR",Non-compliance with general data processing principles,"The Belgian DPA imposed a fine of EUR 20,000 on a company. The controller is a company engaging in direct marketing activities. During those activies the company failed to comply with multiple data processing principle. In particular the company had no sufficient legal basis for the data processing, failed to inform the data subjects and failed to provide data subjects with lawfully requested informations.",link | https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-72-2025.pdf,https://www.enforcementtracker.com/ETid-2613 (Copy: ) | Short URL: https://etid.link/ETid-2613 ETid 2613 | https://www.enforcementtracker.com/ETid-2613
,ETid-2612 | https://www.enforcementtracker.com/ETid-2612,ITALY ITALY,Italian Data Protection Authority (Garante),2025-03-13,"50,000",Azienda regionale per lo sviluppo e per i servizi in agricoltura (ARSAC),Public Sector and Education,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 35 GDPR, Art. 88 GDPR",Non-compliance with general data processing principles,"The Italian DPA imposed a fine of EUR 50,000 on the Regional agency for development and services in agriculture (ARSAC). The controller processed geographic data of its employees without sufficient legal basis. The controller also failed to provide sufficient informations in its internal documents regarding the data procession, breached the basic principles of lawfullness, fairness, transparency and purpose limitation and failed to conduct a data protection impact assesement. 
The total sum of the fine can be reduced by 50% if paid within sixty days.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10128005,https://www.enforcementtracker.com/ETid-2612 (Copy: ) | Short URL: https://etid.link/ETid-2612 ETid 2612 | https://www.enforcementtracker.com/ETid-2612
,ETid-2611 | https://www.enforcementtracker.com/ETid-2611,ITALY ITALY,Italian Data Protection Authority (Garante),2025-04-10,"5,000,000",Luka Inc.,"Media, Telecoms and Broadcasting","Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 (1) GDPR",Non-compliance with general data processing principles,"The Italian DPA imposed a fine of EUR 5,000,000 on Luka Inc. The developer created a chatbot called Replika with a written and voice interface. It is based on a generative AI system, specifically an LLM model, that is constantly fed and improved by user interactions. Replika is intended to be a 'virtual companion' that improves users' moods and emotional well-being by helping them understand their own psyche. Replika can be set up as a friend, therapist, romantic partner, or mentor. The controller failed to demonstrate a valid legal basis for its data processing and failed to provide sufficient information on data processing in its privacy policy. Additionally, the controller failed to adopt appropriate measures to protect personal data collected from children and implement an age verification mechanism. 
The total sum of the fine can be reduced by 50% if paid within sixty days.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10130115#english,https://www.enforcementtracker.com/ETid-2611 (Copy: ) | Short URL: https://etid.link/ETid-2611 ETid 2611 | https://www.enforcementtracker.com/ETid-2611
,ETid-2610 | https://www.enforcementtracker.com/ETid-2610,FRANCE FRANCE,French Data Protection Authority (CNIL),2025-05-15,"900,000",SOLOCAL MARKETING SERVICES,"Media, Telecoms and Broadcasting","Art. 6 GDPR, Art. 7 GDPR",Insufficient legal basis for data processing,"The French DPA imposed a fine of EUR 900,000 on SOLOCAL MARKETING SERVICES. The controller, a company that also engages in direct marketing activities for its clients, ist using direct messages to contact potential customers for its clients. The company also transfers data of potential customers to their clients. The controller obtained the data through data brokers and was unable to prove that the potential customers (data subjects) had given consent for the described use of their data. In addition to the fine, the French DPA orderd the controller to cease its electronic commercial prospecting activities in the absence of valid consent by the data subjects and to pay EUR 10,000 for every day of delay in regards to proving the compliance after the end of a grace period of nine months.",link link | https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000051630617,https://www.enforcementtracker.com/ETid-2610 (Copy: ) | Short URL: https://etid.link/ETid-2610 ETid 2610 | https://www.enforcementtracker.com/ETid-2610
,ETid-2609 | https://www.enforcementtracker.com/ETid-2609,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"10,000",Oil and fat manufacturer,Industry and Commerce,Art. 37 GDPR,Lack of appointment of data protection officer,"The Croatian DPA (AZOP) has imposed a fine of EUR 10,000 on an oil and fat manufacturer for for failing to appoint and designate a data protection officer.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2609 (Copy: ) | Short URL: https://etid.link/ETid-2609 ETid 2609 | https://www.enforcementtracker.com/ETid-2609
,ETid-2608 | https://www.enforcementtracker.com/ETid-2608,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"12,000",Casino,Industry and Commerce,Art. 37 GDPR,Lack of appointment of data protection officer,"The Croatian DPA (AZOP) has imposed a fine of EUR 12,000 on a casino for for failing to appoint and designate a data protection officer.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2608 (Copy: ) | Short URL: https://etid.link/ETid-2608 ETid 2608 | https://www.enforcementtracker.com/ETid-2608
,ETid-2607 | https://www.enforcementtracker.com/ETid-2607,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"3,000",Hospital,Health Care,"Art. 13 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 34 (1) GDPR",Insufficient technical and organisational measures to ensure information security,"The Croation DPA (AZOP) has imposed a fine of EUR 3,000 on a hospital. Despite the extensive and high-risk processing of health data, the hospital had not implemented sufficient organizational measures to ensure the security of data processing. Specifically, measures to ensure the confidentiality of health information were lacking, which undermined trust in medical services and patient privacy. The hospital was fined for breaching Art. 13, Art.32, Art. 33, and Art. 34(1) GDPR.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2607 (Copy: ) | Short URL: https://etid.link/ETid-2607 ETid 2607 | https://www.enforcementtracker.com/ETid-2607
,ETid-2606 | https://www.enforcementtracker.com/ETid-2606,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"4,000",Hospital,Health Care,"Art. 13 GDPR, Art. 14 (2) f) GDPR, Art. 25 (1) GDPR, Art. 28 (3) GDPR",Non-compliance with general data processing principles,"The Croation DPA (AZOP) has imposed a fine of EUR 4,000 on a hospital. The AZOP found that the hospital used a company which automatically retrieved personal data of vehicle owners via the Ministry of the Interior's web service without a legal basis, to issue parking fines for vehicle owners. Additionally, the hospital failed to inform parking users transparently and in accordance with legal requirements about the processing of their personal data related to parking fees. Furthermore, the hospital did not implement appropriate organizational measures to protect the data and lacked a contractual agreement with the external commercial company processing the data. The hospital was fined for breaching Art. 13, Art. 14 (2)(f), Art. 25 (1) and Art. 28(3) GDPR.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2606 (Copy: ) | Short URL: https://etid.link/ETid-2606 ETid 2606 | https://www.enforcementtracker.com/ETid-2606
,ETid-2605 | https://www.enforcementtracker.com/ETid-2605,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"20,000",Hospital,Health Care,"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,"The Croatian DPA (AZOP) imposed a fine of EUR 20,000 on a hospital for failing to implement adequate technical and organizational measures to protect personal data in line with Art. 32 (1) (b) and (d), and Art. 32 (2) GDPR. Following a cyberattack, it was revealed that over a period of seven days, at least 3 GB of personal data had been unlawfully copied from the system. The attacker allegedly gained access through social engineering and a VPN connection, exploited an outdated operating system, and obtained domain administrator rights. In addition to the data breach, numerous servers were locked, backups were deleted, and unauthorized executable files were launched. AZOP found that key security measures such as access restrictions, monitoring, incident response, and corrective actions were either missing or insufficient, which significantly contributed to the success of the attack.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2605 (Copy: ) | Short URL: https://etid.link/ETid-2605 ETid 2605 | https://www.enforcementtracker.com/ETid-2605
,ETid-2604 | https://www.enforcementtracker.com/ETid-2604,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"40,000",Company,"Media, Telecoms and Broadcasting","Art. 5 (1) a), e) GDPR, Art. 6 (1) f) GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 38 (3), (6) GDPR",Insufficient legal basis for data processing,"The Croatian DPA (AZOP) has imposed a fine of EUR 40,000 on a company that published personal data of sole traders on its website. The data originated from public sources and from the financial agency FINA. Although publicly accessible, the authority found that there was no valid legal basis for the publication. Furthermore, the company did not inform the data subjects about the processing of their data and did not properly document its processing activities. Another point of concern was that the data protection officer was also the managing director of the company, which constitutes a conflict of interest under the GDPR. Therefore, the company was fined for breaching Art. 5 (1) (a) and (e), Art. 6 (1) (f), Art. 12, Art. 14, Art. 30, and Art. 38 (3) and (6) GDPR.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2604 (Copy: ) | Short URL: https://etid.link/ETid-2604 ETid 2604 | https://www.enforcementtracker.com/ETid-2604
,ETid-2603 | https://www.enforcementtracker.com/ETid-2603,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-03-24,"80,000",Company,Transportation and Energy,"Art. 5 (1) b) GDPR , Art. 6 (1) GDPR, Art. 32 (2), (4) GDPR",Insufficient legal basis for data processing,"The Croatian DPA (AZOP) has imposed a fine of EUR 80,000 on a company. The company was responsible for monitoring parking lots at several supermarkets and a hospital. However, it accessed personal data – in particular license plate numbers and owner information – from the Croatian Ministry of the Interior's (MUP) vehicle registry without a valid legal basis. Access was gained via a web service that the company had secured the right to use in certain areas on the basis of a concession. However, the actual use went beyond the scope of this concession. In addition, a data processing agreement with the hospital was missing, the system was operated without appropriate technical and organizational protective measures, and there was no legal basis for processing the data. Thus, the company was fined for breaching Art. 5 (1) (b), Art. 6 (1), and Art.32 (2) and (4) GDPR.",link | https://azop.hr/sedam-novih-upravnih-novcanih-kazni-u-iznosu-od-169-000-eura/,https://www.enforcementtracker.com/ETid-2603 (Copy: ) | Short URL: https://etid.link/ETid-2603 ETid 2603 | https://www.enforcementtracker.com/ETid-2603
,ETid-2602 | https://www.enforcementtracker.com/ETid-2602,ICELAND ICELAND,Icelandic data protection authority ('Persónuvernd'),2025-02-17,"34,300",Primary Health Care in the Capital Area,Health Care,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR",Insufficient legal basis for data processing,"The Icelandic DPA has imposed a fine of EUR 34,300 on the Primary Health Care in the Capital Area. The controller processed personal and health data in shared medical record systems by merging its medical records with those of other parties and granting them access to its patients' records.",link | https://island.is/s/personuvernd/urskurdir-akvardanir-og-alit/sekt-a-hendur-heilsugaeslu-hofudborgarsvaedisins-vegna-vinnslu-personuupplysinga-i-sameiginlegu-sjukraskrarkerfi,https://www.enforcementtracker.com/ETid-2602 (Copy: ) | Short URL: https://etid.link/ETid-2602 ETid 2602 | https://www.enforcementtracker.com/ETid-2602
,ETid-2601 | https://www.enforcementtracker.com/ETid-2601,DENMARK DENMARK,Danish Data Protection Authority (Datatilsynet),2024-11-27,"Fine amount between 46,900 and 53,600",Lyngby-Taarbæk Municipality,Public Sector and Education,Unknown,Insufficient technical and organisational measures to ensure information security,"The Danish DPA has imposed a fine between EUR 46,900 and EUR 53,600 on the Lyngby-Taarbæk Municipality. The controller failled to implement sufficient security measures resulting in a data breach.",link | https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/nov/datatilsynet-anmelder-lyngby-taarbaek-kommune-til-politiet,https://www.enforcementtracker.com/ETid-2601 (Copy: ) | Short URL: https://etid.link/ETid-2601 ETid 2601 | https://www.enforcementtracker.com/ETid-2601
,ETid-2600 | https://www.enforcementtracker.com/ETid-2600,DENMARK DENMARK,Danish Data Protection Authority (Datatilsynet),2024-11-12,"6,700",Uptime-IT ApS,Health Care,Unknown,Insufficient technical and organisational measures to ensure information security,"The Danish DPA has imposed a fine of EUR 9,700 on Uptime-IT ApS. Uptime-IT ApS, the data processor for a chiropractic clinic, failed to install sufficient security measures, resulting in a data breach.",link | https://www.datatilsynet.dk/afgoerelser/afgoerelser/2024/nov/databehandler-indstillet-til-boede,https://www.enforcementtracker.com/ETid-2600 (Copy: ) | Short URL: https://etid.link/ETid-2600 ETid 2600 | https://www.enforcementtracker.com/ETid-2600
,ETid-2599 | https://www.enforcementtracker.com/ETid-2599,SWEDEN SWEDEN,Data Protection Authority of Sweden (Integritetsskyddsmyndigheten),2024-12-11,"18,400",Granit Bostad Beritsholm AB,Industry and Commerce,"Art. 6 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,"The Swedish DPA has imposed a fine of EUR 18,400 on the Granit Bostad Beritsholm AB. The controller, a property management company, installed CCTV cameras in an apartment complex without sufficient legal basis. Additionally, the controller failed to inform data subjects about the video surveillance.",link | https://www.imy.se/globalassets/dokument/beslut/2024/beslut-tillsyn-granit-bostad-beritsholm.pdf,https://www.enforcementtracker.com/ETid-2599 (Copy: ) | Short URL: https://etid.link/ETid-2599 ETid 2599 | https://www.enforcementtracker.com/ETid-2599
,ETid-2598 | https://www.enforcementtracker.com/ETid-2598,SWEDEN SWEDEN,Data Protection Authority of Sweden (Integritetsskyddsmyndigheten),2025-04-23,"9,200",Diskrimineringsombudsmannen,Public Sector and Education,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,"The Swedish DPA has imposed a fine of EUR 9,200 on the Swedish Disrimination Ombudsman. The controller was unable to implement sufficient data security measures, resulting in the unauthorized disclosure of sensitive data.",link | https://www.imy.se/globalassets/dokument/beslut/2025/tillsynsbeslut-do.pdf,https://www.enforcementtracker.com/ETid-2598 (Copy: ) | Short URL: https://etid.link/ETid-2598 ETid 2598 | https://www.enforcementtracker.com/ETid-2598
,ETid-2597 | https://www.enforcementtracker.com/ETid-2597,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2024-10-04,"5,000","ROCA & ASOCIADOS ABOGADOS Y ECONOMISTAS, S.L.P.","Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 5,000 on ROCA & ASOCIADOS ABOGADOS Y ECONOMISTAS, S.L.P.  The controller, a law firm, published the names and photos of its employees on its website without a sufficient legal basis.",link | https://www.aepd.es/documento/ps-00526-2023.pdf,https://www.enforcementtracker.com/ETid-2597 (Copy: ) | Short URL: https://etid.link/ETid-2597 ETid 2597 | https://www.enforcementtracker.com/ETid-2597
